Trame codée bruitée,Trame binaire originale
"0.8976892192715192, -0.9785168979329933, 1.014449622196513, -0.9633986544805727, 0.9646074296681323, 1.16623777673116, -0.8805681394128713, 1.1295033725739088, 1.0448738803156323, -1.1318891155895314, 0.7630582847643734, 0.9631288910386229, -1.0401239268734321, 1.1520594649734812, -1.1869673428711711","0.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"-1.2437156312663014, 0.974974695077809, -0.7606856291514495, 1.064677836676885, -0.92064134011759, 1.0290191088751937, 0.7166644309459842, 0.9549918068554065, -0.892138258086637, 0.9351603481636018, -1.0087573471550249, 0.8760464308853539, 1.112960451940126, -0.9779477971905401, 0.7731043289515998","1.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"0.9965613331760149, -0.9521519098208849, 0.9020294973265836, -1.133217413711162, -1.0505274696681677, -0.9978566298326835, 0.872226197119618, -1.1167428402266073, -1.0869372679582552, -0.8138548098996965, -1.0090005717914403, 1.0999899358445016, 1.1969846272187663, -0.9604054773022171, -0.9862626743683445","0.0, 1.0, 0.0, 1.0, 1.0, 1.0"
"0.9657247653173056, 0.977032998084909, -1.0632309923581575, 1.2815585952914281, 0.7472479166807507, 1.0206696700620908, -0.6531980099900156, -1.0388272321347862, -1.0628886156515946, -1.2986583301087915, 0.9657304174575683, 1.1997606925944049, 0.7924190928124211, 0.9822666414909752, -1.1370861960201126","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"0.9686802766129731, 1.1721202681215432, 0.9791289494614878, 0.802790757054135, -1.024634641455758, 1.1949751408062335, -0.8917287943005425, -1.132223527026498, -1.1043818780635826, -1.0399436960522013, 1.03058403712174, -1.0963177297069815, -1.0350833219633155, 1.0048691532643284, -1.0266396484321345","0.0, 0.0, 0.0, 0.0, 1.0, 0.0"
"0.9808768012297009, -0.8392170618450174, 1.2792202244657416, -0.9496099965525744, -1.0311336895866854, -0.9249853307381304, 0.9385785157357351, -1.0858182644007721, -1.2146625868336751, -1.0789687959964813, -1.143939106567548, 0.9946553805405968, 1.2486122917240463, -1.0913415532610764, -1.0227984321091812","0.0, 1.0, 0.0, 1.0, 1.0, 1.0"
"0.9683295406577122, -0.8734723491247512, 1.1270307105858761, 1.060043905279275, -1.029446604367161, 1.071687021066203, -0.997926621944179, 0.9434008426205365, -0.9800515761419577, 0.976945152663391, 1.1389535611913975, -0.8056706442651882, 1.162496031120165, 0.8780498557552814, -1.1174034102754007","0.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"1.0398189568743998, -0.9417975497866731, -0.9078998455813558, -1.1958648989254794, -0.9452297107977325, -0.7635000139730012, -1.084294101345054, 1.0664973216051266, 0.9658888939905943, 1.1113825103104347, -0.9493523218957384, 1.1248523459045838, 1.0113843526944235, -1.1949552148203755, 1.2965348789818953","0.0, 1.0, 1.0, 1.0, 1.0, 1.0"
"1.0547720738476203, -0.7685103233952754, -1.0292147811814651, -1.0283715722349047, 0.9292406225571209, -0.9677813175540997, 1.1676346492930902, -0.8848755239048255, -1.01385416870602, -1.0552719894848555, -1.0665102153122807, -0.7398074656042275, -1.07488797812597, -0.8820677835681009, -1.0638526024624775","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
"-0.8210055437168362, 1.2433910631368996, 0.7958686358238116, -1.1156149358488636, -1.2508310881306057, 1.2368770193612244, 1.1270382311343983, 1.1208991294489323, 0.914142511022879, -0.8537643711278612, -0.9536366876671869, 1.0171498403501618, 0.7619005373217163, -1.02921559211909, 1.1056349416409883","1.0, 0.0, 0.0, 1.0, 1.0, 0.0"
"-0.9484226440980832, 0.9137733760061146, -1.1612340465279303, -0.9315068562017486, 0.7746317753496279, 0.863342035213691, 0.9049534270243125, 1.0062234983002913, 1.000445892198565, -0.9164951661797853, -0.8751932401041397, -0.9979796892280917, -1.143355329605548, -0.9430677011078266, 0.780112049881114","1.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"-0.6556223599583184, -1.135902458912263, -1.040235858973484, 1.0051903141259118, -1.0870709420396236, -1.1026223684983363, 0.9977447386623595, -0.9471541879568779, -0.8395286516067823, 0.9992878002566598, 1.072607638545788, -1.0489624756308191, -1.1061062288828578, 1.1241799658252478, -1.0537778141424383","1.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"-1.011982663081438, 1.1105790078445554, -0.9862979601108444, -0.8981760073870897, 0.6839905055237069, -0.9963813633673418, 0.9774292640746642, 1.0390300730781545, 1.1450835327086415, 1.0538053611722358, 0.9074811221822069, 1.0209143557433518, -0.921832765788185, 1.0431594842216017, -1.0679148199444166","1.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"0.8133595208943618, 1.122035447077986, 0.7956698475945154, -0.8473800691422535, -0.9861701335511392, 1.097254329592139, 1.1825722904980864, 0.9129812323500168, -1.130095984530694, -1.1072187492254195, 1.0002468571489715, -0.9185212835679076, -0.8204953268362523, 0.9837473909148535, 0.7433274383560602","0.0, 0.0, 0.0, 1.0, 1.0, 0.0"
"-1.1852543659014794, -1.0699780468721733, -1.193442995090723, -1.2547677934256838, -0.959341863276287, -1.3883256543506113, -0.9099803025754701, 1.0854780591644646, -0.8120409578798818, 0.8364919922762654, 0.8593054603608943, -0.8859310627225967, -1.026678574135037, 1.1309500205401575, 1.014117635793653","1.0, 1.0, 1.0, 1.0, 1.0, 1.0"
"-1.2194327977547685, -0.9668353257014468, 0.9002007191760801, 1.0858151836229428, -1.0700198621634094, 0.9638544780893157, -1.1735690593506867, 1.0748590731468235, 1.1515825852820512, 1.019760907376623, -0.8627349239911566, 0.9364170125493068, -0.9059914459739135, -1.1360738755918818, -1.0235975871003056","1.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"-0.8413403517504886, -1.0363782711266905, -1.0284299556796874, -1.161010469575185, -0.7876179742441225, -1.03130207402336, -1.2229927402829495, 0.7970229904243368, -0.9170166310265346, 0.8643763110128362, 1.1086307513884792, -0.9913478800870914, -1.081437099940167, 0.8305555970995431, 1.0078404683551014","1.0, 1.0, 1.0, 1.0, 1.0, 1.0"
"0.8007864622648565, -0.8359344741396509, 0.9905008325192421, 0.9458894753301681, 1.1471945808182717, 0.7534778043029517, 0.868144231851056, -0.7806310648951081, 0.8023019022851978, -1.2630045107340533, 1.0276616915533563, 0.9258609720306036, -0.9902414812872922, 0.9741757293832172, 0.9690268457761293","0.0, 1.0, 0.0, 0.0, 0.0, 0.0"
"0.9134633397735531, -0.9741525528999235, -0.8786453059956093, 0.7689372853130597, -1.1584371124207902, -0.9706153318182492, 1.1069631427032973, -1.0835428953864994, 0.6721518236888665, 1.0059293692127946, -0.9871221099409283, 0.9912118092394294, 1.040720317795428, -1.0245373230165675, -1.0791116507600969","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
"1.0241380838819167, 0.7186533813372311, 1.0657272322147167, -0.6963107403786312, -1.0869101911134083, -0.9858880772442246, 1.0134059150209596, 1.0009637052324454, -1.2631610500476147, 1.0472668180676379, -1.2296424467911578, 0.7972186968296076, -0.9046183369773781, -1.057365562765439, -1.0065688169682598","0.0, 0.0, 0.0, 1.0, 1.0, 1.0"
"1.1731746028056744, -1.044542283686333, 0.9320996902296819, 0.8367457375325879, 0.8858484427478088, -0.8057698344101313, 0.9210172215130388, -1.1364733168569208, 0.9436102134165225, 1.0348033674126091, -0.9313263369968161, -0.8332590536675102, -0.9751113930994564, -0.9395974900304092, -0.8197705542739193","0.0, 1.0, 0.0, 0.0, 0.0, 1.0"
"1.0970363321410814, 1.1698752558747876, -0.8793810759019316, 0.9923161501578708, 1.0804038574117065, 0.8954550556039309, -1.0422699061743572, -0.7948643640854496, -1.0320201804852778, -0.8738653506409311, 0.8035224716775881, 1.001092673366203, 0.8165496973856359, 1.0307478129418965, -0.8740894966673489","0.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"-1.0224996864735494, 0.8620767294665086, -0.9715820537528647, 0.9906944742448482, -0.9105432714364257, 1.047217528498663, 1.0856571863620303, 0.9604210619654089, -0.951218311105832, 0.8430880044143563, -1.2091888898966667, 0.940197725418357, 1.1286614036229237, -0.866611531399276, 1.02935865712332","1.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"-0.7453965464147255, 1.0544256292997802, -0.7245783343053426, -0.9051361792595565, 1.0525531988544956, -0.8889065341532768, 1.0332743010008107, 1.0842532094079573, 0.9875864484246214, 0.8814578976964869, 1.1876105437615103, 1.0565104485893984, -0.8992815976452131, 0.985441356810516, -0.8995261931198729","1.0, 0.0, 1.0, 1.0, 0.0, 1.0"
"0.784047119145136, 0.8994531610452429, -1.1395423651910868, -0.969833446963667, -1.2951475393971514, -1.1926939963552927, -0.8170566606773823, -0.826665215248904, 1.0167612921743239, -0.8522008284285718, -1.2144103844473415, 0.8059143227168074, -0.9858843506263564, -0.7653130390987605, 1.0913567491415672","0.0, 0.0, 1.0, 1.0, 1.0, 1.0"
"-0.7316272970396382, -0.7809160186092, -1.0188930286256952, 0.7065709238348019, -1.2459800477538112, -0.9090872519071703, 1.2526445664082901, -1.1637603526105869, -1.0834069962298436, 0.9145697621408344, 1.2814697992734343, -0.8777909412650724, -1.0129989536683504, 1.2104584778953298, -0.9964544841242668","1.0, 1.0, 1.0, 0.0, 1.0, 1.0"
